cycle,state,pollster,samplesize,candidate_name,Candidateidentifier,daysLeft,numberSupport,Democrat,Republican,Percentage_of_Vote_won_x,pvi,experienced
1994,Hawaii,NA,1,Daniel Akaka,1994HIAkaka,1,0,1,0,71.8,8.7,1
1994,Hawaii,NA,1,Maria Hustace,1994HIHustace,1,0,0,1,24.2,8.7,0
1994,North Dakota,NA,1,Kent Conrad,1994NDConrad,1,0,1,0,58,-2.69,1
1994,North Dakota,NA,1,Ben Clayburgh,1994NDClayburgh,1,0,0,1,42,-2.69,0
1994,Mississippi,NA,1,Trent Lott,1994MSLott,1,0,0,1,68.8,-8.3805,1
1994,Mississippi,NA,1,Ken Harper,1994MSHarper,1,0,1,0,31.2,-8.3805,1
1998,Alaska,NA,1,Frank Murkowski,1998AKMurkowski,1,0,0,1,74.5,-8.2654,1
1998,Alaska,NA,1,Joseph Sonneman,1998AKSonneman,1,0,1,0,19.7,-8.2654,0
1998,Arizona,NA,1,John McCain,1998AZMcCain,1,0,0,1,68.7,-4.75,1
1998,Arizona,NA,1,Ed Ranger,1998AZRanger,1,0,1,0,27.2,-4.75,0
1998,Hawaii,NA,1,Daniel Inouye,1998HIInouye,1,0,1,0,79.2,8.7,1
1998,Hawaii,NA,1,Crystal Young,1998HIYoung,1,0,0,1,17.8,8.7,0
1998,North Dakota,NA,1,Byron Dorgan,1998NDDorgan,1,0,1,0,63.2,-8.6411,1
1998,North Dakota,NA,1,Donna Nalewaja,1998NDNalewaja,1,0,0,1,35.2,-8.6411,1
2000,Hawaii,NA,1,Daniel Akaka,2000HIAkaka,1,0,1,0,72.7,8.7,1
2000,Hawaii,NA,1,John Carroll,2000HICarroll,1,0,0,1,24.5,8.7,1
2000,West Virginia,NA,1,Robert Byrd,2000WVByrd,1,0,1,0,77.8,4.3134,1
2000,West Virginia,NA,1,David Gallaher,2000WVGallaher,1,0,0,1,20.2,4.3134,0
2002,Delaware,NA,1,Joe Biden,2002DEBiden,1,0,1,0,58.2,3.8895,1
2002,Delaware,NA,1,Raymond Clatworthy,2002DEClatworthy,1,0,0,1,40.8,3.8895,0
2002,Kentucky,NA,1,Mitch McConnell,2002KYMcConnell,1,0,0,1,64.7,-7.9946,1
2002,Kentucky,NA,1,Lois Combs Weinberg,2002KYWeinberg,1,0,1,0,35.3,-7.9946,0
2002,West Virginia,NA,1,Jay Rockefeller,2002WVRockefeller,1,0,1,0,63.1,4.3134,1
2002,West Virginia,NA,1,Jay Wolfe,2002WVWolfe,1,0,0,1,36.9,4.3134,0
2002,Wyoming,NA,1,Joyce Corcoran,2002WYCorcoran,1,0,1,0,27,-12.215,1
2002,Wyoming,NA,1,Mike Enzi,2002WYEnzi,1,0,0,1,73,-12.215,1
2002,Massachusetts,NA,1,John Kerry,2002MAKerry,1,0,1,0,80,13.9,1
2002,Massachusetts,NA,1,Michael Cloud,2002MACloud,1,0,0,0,18.4,13.9,0
2004,Alabama,NA,1,Richard Shelby,2004ALShelby,1,0,0,1,67.55,-7.8521,1
2004,Alabama,NA,1,Wayne Sowell,2004ALSowell,1,0,1,0,32.35,-7.8521,0
2004,Arizona,NA,1,John McCain,2004AZMcCain,1,0,0,1,76.7,-4.0298,1
2004,Arizona,NA,1,Stuart Starky,2004AZStarky,1,0,1,0,20.6,-4.0298,0
2004,Hawaii,NA,1,Daniel Inouye,2004HIInouye,1,0,1,0,75.5,8.7,1
2004,Hawaii,NA,1,Campbell Cavasso,2004HICavasso,1,0,0,1,21,8.7,1
2004,Vermont,NA,1,Patrick Leahy,2004VTLeahy,1,0,1,0,70.6,11.545,1
2004,Vermont,NA,1,Jack McMullen,2004VTMcMullen,1,0,0,1,24.5,11.545,0
2006,Hawaii,NA,1,Daniel Akaka,2006HIAkaka,1,0,1,0,61.4,8.7,1
2006,Hawaii,NA,1,Cynthia Thielen,2006HIThielen,1,0,0,1,36.8,8.7,1
2006,North Dakota,NA,1,Kent Conrad,2006NDConrad,1,0,1,0,68.8,-8.6411,1
2006,North Dakota,NA,1,Dwight Grotberg,2006NDGrotberg,1,0,0,1,29.5,-8.6411,0
2006,Minnesota,NA,1,Amy Klobuchar,2006MNKlobuchar,1,0,1,0,58.1,3.005,1
2006,Minnesota,NA,1,Mark Kennedy,2006MNKennedy,1,0,0,1,37.9,3.005,1
2006,Mississippi,NA,1,Trent Lott,2006MSLott,1,0,0,1,63.6,-8.683,1
2006,Mississippi,NA,1,Erik R. Fleming,2006MSFleming,1,0,1,0,34.9,-8.683,1
2008,Arkansas,NA,1,Mark Pryor,2008Pryor,1,0,1,0,79.5,-13.868,1
2008,Arkansas,NA,1,Rebekah Kennedy,2008ARKennedy,1,0,0,0,20.5,-13.868,0
2012,Delaware,NA,1,Tom Carper,2012DETCarper,1,0,1,0,66.4,8.945,1
2012,Delaware,NA,1,Kevin Wade,2012DEWade,1,0,0,1,29,8.945,0
2012,Mississippi,NA,1,Albert N. Gore,2012MSGore,1,0,1,0,40.6,-8.683,0
2012,Mississippi,NA,1,Roger Wicker,2012MSWicker,1,0,0,1,57.2,-8.683,1
2012,Wyoming,NA,1,John Barrasso,2012WYBarrasso,1,0,0,1,75.7,-19.073,1
2012,Wyoming,NA,1,Tim Chesnut,2012WYChesnut,1,0,1,0,21.6,-19.073,0
2012,Vermont,NA,1,Bernie Sanders,2012VTSanders,1,0,1,0,71,15.2,0
2012,Vermont,NA,1,John MacGovern,2012VTMacGovern,1,0,0,1,24.9,15.2,1